PDF File Name,Chunk Size,LLM Model Name,Input Token Count,Prompt Token Count,Output Token Count,Total Cost,processing_time
1-s2.0-S0921509308013361-main,3,gpt-3.5_turbo-16k_with_fine_tuning,8341,353,1244,0.0049689999999999995,21.248987436294556
1-s2.0-1359646295005765-main,1,gpt-3.5_turbo-16k_with_fine_tuning,1456,353,231,0.00102,4.021035194396973
1-s2.0-S0921509308013361-main,3,gpt-3.5_turbo-16k_with_fine_tuning,8341,353,1244,0.0049689999999999995,25.43911385536194
SME_polyctsrtalline,2,gpt-3.5_turbo-16k_with_fine_tuning,4640,353,95,0.002544,54.637179136276245
1-s2.0-S0921509321016269-main,6,gpt-3.5_turbo-16k_with_fine_tuning,20746,353,1059,0.011079,25.440157175064087
s11661-011-0651-x,7,gpt-3.5_turbo-16k_with_fine_tuning,22937,353,1938,0.012613999999999998,45.26820182800293
1-s2.0-S1452398123074655-main,3,gpt-3.5_turbo-16k_with_fine_tuning,10394,353,897,0.005822000000000001,20.29597282409668
effect_Co_addition_on_martensite,6,gpt-3.5_turbo-16k_with_fine_tuning,22129,353,619,0.0115505,20.95426845550537
vol28_no2_265,2,gpt-3.5_turbo-16k_with_fine_tuning,4670,353,539,0.002781,12.84592080116272
s11665-014-1071-z,3,gpt-3.5_turbo-16k_with_fine_tuning,8479,353,768,0.0048000000000000004,15.741592645645142
isijinternational.30.666,4,gpt-3.5_turbo-16k_with_fine_tuning,15607,353,373,0.008166499999999998,16.665900468826294
jp4%3A2003909,2,gpt-3.5_turbo-16k_with_fine_tuning,5273,353,191,0.0029085,7.283565282821655
1-s2.0-1359646295005765-main,1,gpt-3.5_turbo-16k_with_fine_tuning,1456,353,227,0.001018,4.176819801330566
113905_1_online,3,gpt-3.5_turbo-16k_with_fine_tuning,11524,353,528,0.0062025,20.289433479309082
s11665-009-9425-7,3,gpt-3.5_turbo-16k_with_fine_tuning,9848,353,252,0.0052265,10.882747173309326
