PDF File Name,Chunk Size,LLM Model Name,Input Token Count,Prompt Token Count,Output Token Count,Total Cost,processing_time
1-s2.0-S0921509308013361-main,3,gpt-3.5_turbo-16k_without_fine_tuning,8341,25,1297,0.0048315,22.809585332870483
1-s2.0-1359646295005765-main,1,gpt-3.5_turbo-16k_without_fine_tuning,1456,25,215,0.000848,5.006280899047852
SME_polyctsrtalline,2,gpt-3.5_turbo-16k_without_fine_tuning,4640,25,1406,0.0030355,74.62086153030396
1-s2.0-S0921509321016269-main,6,gpt-3.5_turbo-16k_without_fine_tuning,20746,25,2723,0.011747,44.03368878364563
s11661-011-0651-x,7,gpt-3.5_turbo-16k_without_fine_tuning,22937,25,2371,0.012666499999999999,47.368956327438354
1-s2.0-S1452398123074655-main,3,gpt-3.5_turbo-16k_without_fine_tuning,10394,25,1090,0.005754500000000001,25.87319850921631
effect_Co_addition_on_martensite,6,gpt-3.5_turbo-16k_without_fine_tuning,22129,25,3904,0.013029,66.96792459487915
vol28_no2_265,2,gpt-3.5_turbo-16k_without_fine_tuning,4670,25,659,0.0026769999999999997,17.790191888809204
s11665-014-1071-z,3,gpt-3.5_turbo-16k_without_fine_tuning,8479,25,917,0.0047105,19.381874799728394
isijinternational.30.666,4,gpt-3.5_turbo-16k_without_fine_tuning,15607,25,675,0.0081535,21.250802993774414
jp4%3A2003909,2,gpt-3.5_turbo-16k_without_fine_tuning,5273,25,317,0.0028074999999999997,9.530997276306152
113905_1_online,3,gpt-3.5_turbo-16k_without_fine_tuning,11524,25,751,0.00615,24.326677083969116
s11665-009-9425-7,3,gpt-3.5_turbo-16k_without_fine_tuning,9848,25,666,0.005269500000000001,15.699043273925781
