Fe,Mn,Si,Cr,Ni,Co,Ga,Ge,Ti,RE,N,Al,Mo,C,Ms,Mf,As,Af,T0(Ms+As)/2,Tc,Tn,Tm(peak mart.temp),TA(peak aus.temP),P(sf) stacking fault(10^-3),Grain size(μm),critical stress induced martensite(σm),Hardness γ (HV),strain hardening exponent(n),Aging temperature(K),c/a ratio,e/a valence electronic concentrations,ΔH(ε-γ) (J/gm),ΔT (As-Ms),ΔS(J/kg)K,ΔV,Stress(Mpa),lattice parameter(γ): a,lattice parameter(ε): a,lattice parameter(ε): c,L21-phase parameter,lattice parameter(ε): b,Volume fraction (ε),Volume fraction (γ),Volume fraction(α'),pre- strain (%),Degree of Recovery(%),Recoverable strain(%),One cycle training(Degree of Recovery(%),Two cycles training(Degree of Recovery(%),Five training cycle(Degree of Recovery(%),Experimental Method,Experimental Method used ,Measurement Technique,alloy preparation,specimen dimension,specimen dimension(l)(mm),specimen dimension(b)(mm),specimen dimension(d)(mm),Annealing temperature(K),Annealing time(h),cooling
63.6,30.3,6.1,0,0,0,0,0,0,0,0,0,0,0,300,nan,nan,nan,nan,nan,270,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Internal friction measurement,Internal friction measurement,Electrostatic audio-frequency internal friction instrument,Rolled tosheet of 1–2 mm thickness,"50 mm long, 5mm wide",50,5,2,1173,0.16,nan
63.6,30.3,6.1,0,0,0,0,0,0,0,0,0,0,0,323,nan,nan,nan,nan,273,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Induction furnace melting,Internal friction measurement,Electrostatic audio-frequency internal friction instrument,Hot forging and hot rolling into plate,5 mm x 30 mm,5,30,2,1173,10,nan
76.7,21.2,2.1,0,0,0,0,0,0,0,0,0,0,0,390,nan,416,nan,nan,309,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,14,0.28,nan,nan,nan,not mentioned in the given context,"Tensile tests, bending tests, measurements of magnetic susceptibility, electron microscopy",Susceptibility measured with a Faraday type magnetic balance,"Alloys A, F, and G with different Mn concentrations were prepared",Rectangular specimens of 0.5 x 2 x 15 mm,0.5,2,15,1273,1,oil bath 
71.41,27.6,0.99,0,0,0,0,0,0,0,0,0,0,0,298,nan,387,nan,nan,373,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.613,nan,nan,89,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,6,0.12,nan,nan,nan,nan,"Tensile tests, bending tests, measurements of magnetic susceptibility, electron microscopy",Susceptibility measured with a Faraday type magnetic balance,"Alloys A, F, and G with different Mn concentrations were prepared",Rectangular specimens of 0.5 x 2 x 15 mm,0.5,2,15,1273,1,oil bath 
74.01,24.8,1.19,0,0,0,0,0,0,0,0,0,0,0,331,nan,395,nan,nan,341,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.613,nan,nan,54,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,9,0.18,nan,nan,nan,nan,"Tensile tests, bending tests, measurements of magnetic susceptibility, electron microscopy",Susceptibility measured with a Faraday type magnetic balance,"Alloys A, F, and G with different Mn concentrations were prepared",Rectangular specimens of 0.5 x 2 x 15 mm,0.5,2,15,1273,1,oil bath 
71.86,25.8,2.34,0,0,0,0,0,0,0,0,0,0,0,336,nan,381,nan,nan,332,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.615,nan,nan,45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,73,1.46,nan,nan,nan,nan,"Tensile tests, bending tests, measurements of magnetic susceptibility, electron microscopy",Susceptibility measured with a Faraday type magnetic balance,"Alloys A, F, and G with different Mn concentrations were prepared",Rectangular specimens of 0.5 x 2 x 15 mm,0.5,2,15,1273,1,oil bath 
70.7,26.3,3,0,0,0,0,0,0,0,0,0,0,0,342,nan,388,nan,nan,319,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,46,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,99,1.98,nan,nan,nan,nan,"Tensile tests, bending tests, measurements of magnetic susceptibility, electron microscopy",Susceptibility measured with a Faraday type magnetic balance,"Alloys A, F, and G with different Mn concentrations were prepared",Rectangular specimens of 0.5 x 2 x 15 mm,0.5,2,15,1273,1,oil bath 
69.73,26.9,3.37,0,0,0,0,0,0,0,0,0,0,0,348,nan,390,nan,nan,304,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.618,nan,nan,42,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,100,2,nan,nan,nan,nan,"Tensile tests, bending tests, measurements of magnetic susceptibility, electron microscopy",Susceptibility measured with a Faraday type magnetic balance,"Alloys A, F, and G with different Mn concentrations were prepared",Rectangular specimens of 0.5 x 2 x 15 mm,0.5,2,15,1273,1,oil bath 
62.76,30.7,6.54,0,0,0,0,0,0,0,0,0,0,0,290,nan,338,nan,nan,270,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,100,2,nan,nan,nan,nan,"Tensile tests, bending tests, measurements of magnetic susceptibility, electron microscopy",Susceptibility measured with a Faraday type magnetic balance,"Alloys A, F, and G with different Mn concentrations were prepared",Rectangular specimens of 0.5 x 2 x 15 mm,0.5,2,15,1273,1,oil bath 
62.5,31.5,6,0,0,0,0,0,0,0,0,0,0,0,293,nan,388.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,95.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3,61.66,1.85,nan,nan,nan,Vacuum induction melting Cooling with liquid nitrogen,,,,,,,,1423,1,nan
60,24,16,0,0,0,0,0,0,0,0,0,0,0,376,nan,434,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,1273,1,furnace cooled 
63.6,30.3,6.1,0,0,0,0,0,0,0,0,0,0,0,309,nan,nan,nan,nan,nan,nan,nan,nan,1.83,nan,147,nan,0.31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Quenching from 173 K into water  followed by annealing at 873 K for 10 min,X-ray diffraction proﬁle analysis,Fourier analysis,Austenized at 173 K for 5 hours followed by water quenching,Tensile specimens with dimensions of 3mm x 2mm x 12mm,3,2,12,873,0.166667,water bath 
61,33,6,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,189,nan,nan,nan,nan,nan,nan,nan,nan,2.5,88,2.2,nan,nan,nan,Induction melting in an argon gas atmosphere,,,austenitized at 1273K for 3.6ks in an argon gas atmosphere.,"50mm an length, 9mm in width and 0.9mm in thickness",50,9,0.9,1273,0.166667,air cooled
61,33,6,0,0,0,0,0,0,0,0,0,0,0,264,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Induction melting in an argon gas atmosphere,,,austenitized at 1273K for 3.6ks in an argon gas atmosphere.,"50mm an length, 9mm in width and 0.9mm in thickness",50,9,0.9,1273,0.16667,air cooled
76.8,21.4,1.8,0,0,0,0,0,0,0,0,0,0,0,387,493,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,tensile deformation,"Tensile tests, metallographic observation, HVEM examination",Observation of relative displacements of indentation marks under an optical measuring microscope,"Various amounts of crashed Fe,Si were melted into the FcMn alloys",Rectangular pieces of 0.5 x 1.5 x 20 mm,0.5,1.5,20,1273,0.166667,air cooled
71.9,25.9,2.2,0,0,0,0,0,0,0,0,0,0,0,331,411,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,tensile deformation,"Tensile tests, metallographic observation, HVEM examination",Observation of relative displacements of indentation marks under an optical measuring microscope,"Various amounts of crashed Fe,Si were melted into the FcMn alloys",Rectangular pieces of 0.5 x 1.5 x 20 mm,0.5,1.5,20,1273,0.166667,air cooled
70.9,26.8,2.3,0,0,0,0,0,0,0,0,0,0,0,325,382,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,tensile deformation,"Tensile tests, metallographic observation, HVEM examination",Observation of relative displacements of indentation marks under an optical measuring microscope,"Various amounts of crashed Fe,Si were melted into the FcMn alloys",Rectangular pieces of 0.5 x 1.5 x 20 mm,0.5,1.5,20,1273,0.166667,air cooled
70.9,26.8,2.8,0,0,0,0,0,0,0,0,0,0,0,339,414,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,tensile deformation,"Tensile tests, metallographic observation, HVEM examination",Observation of relative displacements of indentation marks under an optical measuring microscope,"Various amounts of crashed Fe,Si were melted into the FcMn alloys",Rectangular pieces of 0.5 x 1.5 x 20 mm,0.5,1.5,20,1273,0.166667,air cooled
64.1,30.3,5.6,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,285.75,424.65,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,93,nan,nan,nan,nan,VAM and AFM techniques,Vacuum arc melting (VAM) and air furnace melting (AFM),EPMA (Electron Probe Microanalysis),Hot rolled to 2 mm thickness,,,,,1073.15,2,water bath 
64.1,30.3,5.6,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,291.55,430.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,nan,nan,nan,nan,VAM and AFM techniques,Vacuum arc melting (VAM) and air furnace melting (AFM),EPMA (Electron Probe Microanalysis),Hot rolled to 2 mm thickness,,,,,1073.15,2,water bath 
64.1,30.3,5.6,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,285.75,424.65,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,93,nan,nan,nan,nan,VAM and AFM techniques,Vacuum arc melting (VAM) and air furnace melting (AFM),EPMA (Electron Probe Microanalysis),Hot rolled to 2 mm thickness,,,,,1073.15,2,water bath 
64.1,30.3,5.6,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,291.55,430.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,88,nan,nan,nan,nan,VAM and AFM techniques,Vacuum arc melting (VAM) and air furnace melting (AFM),EPMA (Electron Probe Microanalysis),Hot rolled to 2 mm thickness,,,,,1073.15,2,water bath 
63,32.5,4.5,0,0,0,0,0,0,0,0,0,0,0,289,nan,407,nan,348,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS),"Alloys were prepared by melting iron, manganese, and silicon under an Ar atmosphere",Prismatic specimens with a square base of 3 mm sides,3,3,3,1273,1,water bath 
71.6,27.4,1,0,0,0,0,0,0,0,0,0,0,0,280,nan,416,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS),"Alloys were prepared by melting iron, manganese, and silicon under an Ar atmosphere",Prismatic specimens with a square base of 3 mm sides,3,3,3,1273,1,water bath 
64,31,5,0,0,0,0,0,0,0,0,0,0,0,304,nan,407,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS),"Alloys were prepared by melting iron, manganese, and silicon under an Ar atmosphere",Prismatic specimens with a square base of 3 mm sides,3,3,3,1273,1,water bath 
78.2,19.8,2,0,0,0,0,0,0,0,0,0,0,0,420,nan,480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS),"Alloys were prepared by melting iron, manganese, and silicon under an Ar atmosphere",Prismatic specimens with a square base of 3 mm sides,3,3,3,1273,1,water bath 
75.7,22.3,2,0,0,0,0,0,0,0,0,0,0,0,399,nan,465,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS),"Alloys were prepared by melting iron, manganese, and silicon under an Ar atmosphere",Prismatic specimens with a square base of 3 mm sides,3,3,3,1273,1,water bath 
64.9,29.1,6,0,0,0,0,0,0,0,0,0,0,0,335,nan,432,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS),"Alloys were prepared by melting iron, manganese, and silicon under an Ar atmosphere",Prismatic specimens with a square base of 3 mm sides,3,3,3,1273,1,water bath 
78.665,20.34,1,0,0,0,0,0,0,0,0,0,0,0,408,nan,469,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS) and Neutron Activation Analysis (NAA),Wavelength Dispersive Energy (WDS),"Alloys were prepared by melting iron, manganese, and silicon under an Ar atmosphere",Prismatic specimens with a square base of 3 mm sides,3,3,3,1273,1,water bath 
